Timestamp,Temperature (°C)
19:39:52,24.68
19:39:53,24.68
19:39:55,24.75
19:39:56,24.68
19:39:57,24.68
19:39:58,24.68
19:39:59,24.75
19:40:00,24.62
19:40:01,24.68
19:40:02,24.75
19:40:03,24.68
19:40:05,24.68
19:40:06,24.68
19:40:07,24.68
19:40:08,24.68
19:40:09,24.68
19:40:10,24.75
19:40:11,24.68
19:40:31,24.62
19:40:32,24.75
19:40:33,24.68
19:40:35,24.62
19:40:36,24.68
19:40:37,24.75
19:40:38,24.75
19:40:39,24.68
19:40:40,24.75
19:41:21,24.75
19:41:22,24.81
19:41:23,24.81
19:41:24,24.75
19:41:25,24.75
19:41:26,24.81
19:41:27,24.75
19:41:28,24.5
19:41:29,24.56
19:41:31,24.68
19:41:32,24.5
19:41:33,24.25
