Timestamp,Temperature (°C)
18:41:59,27.81
18:42:00,27.81
18:42:01,27.81
18:42:02,27.68
18:42:04,27.68
18:42:05,27.81
18:42:06,28.18
18:42:07,28.06
18:42:08,28.5
18:42:09,28.56
18:42:21,28.56
18:42:22,28.62
18:42:24,28.56
18:42:25,28.37
18:42:26,28.31
18:42:27,28.12
18:42:28,28.18
18:42:29,28.06
18:42:30,28.12
18:42:31,28.12
18:42:32,28.12
18:42:34,28.18
18:42:35,28.18
18:42:36,28.0
18:42:37,27.93
18:43:32,26.62
18:43:33,26.5
18:43:34,26.62
18:43:35,26.37
18:43:36,26.43
18:43:37,26.5
18:43:39,26.56
18:43:40,26.31
18:43:41,26.75
18:43:42,27.25
18:43:43,27.12
18:43:44,27.81
18:43:45,28.18
18:43:46,28.25
18:43:47,28.56
18:43:49,28.81
18:43:50,28.87
18:43:51,29.18
18:43:52,29.5
18:43:53,29.68
18:43:54,29.68
18:43:55,29.5
18:43:56,29.56
18:43:57,29.68
18:43:59,30.0
18:44:00,30.0
18:44:01,30.18
18:44:02,30.37
18:44:03,30.56
18:44:04,30.56
18:44:05,30.56
18:44:06,30.81
18:44:07,30.75
18:44:09,30.68
18:44:10,30.81
18:44:11,30.68
18:44:12,31.0
18:44:13,30.93
18:44:14,31.0
18:44:15,31.06
18:44:16,30.81
18:44:17,30.06
18:44:19,29.62
18:44:20,29.18
18:44:21,28.81
18:44:22,28.12
18:44:23,27.68
18:44:24,27.5
18:44:25,27.25
18:44:26,27.06
18:44:27,26.75
18:44:29,26.56
18:44:30,26.43
18:44:31,26.06
18:44:32,26.12
18:44:33,26.06
18:44:34,25.81
18:44:35,25.62
18:44:36,25.75
18:44:38,25.62
18:44:39,25.31
18:44:40,25.56
18:44:41,25.5
18:44:42,25.5
18:44:43,25.18
18:44:44,25.12
18:44:45,25.12
18:44:46,24.81
